gene_id,log2FoldChange,log2CPM,PValue,FDR,up_down
TPO,-1.171036391,0.704049058,0.00011511,0.000315392,Down
TACSTD2,-1.077222489,7.683829277,0.000115589,0.000316606,Down
RNF182,2.198617775,0.778935459,0.000117376,0.000321354,Up
UNC5A,1.824643501,2.381652669,0.000117601,0.000321906,Up
SLC22A31,2.28784129,1.393579534,0.000118408,0.00032388,Up
KCNK15,1.637667709,2.99090604,0.000119278,0.000325957,Up
OLFM2,1.062817573,3.813831075,0.000122308,0.000333391,Up
HIST1H2AB,1.457847924,-3.327632842,0.000122317,0.000333391,Up
FGF17,1.316201896,-2.067443457,0.000123143,0.000335388,Up
GRAMD2,1.128923373,1.626702241,0.000124864,0.000339919,Up
PLXNB3,-1.075967736,3.540515442,0.000125769,0.000342331,Down
CCDC175,2.191886743,-2.488880289,0.000128277,0.000348782,Up
UBD,1.822541306,-2.806935975,0.000128296,0.000348782,Up
PGAP3,1.543993622,6.719130283,0.00012915,0.000350781,Up
KIF12,1.103075355,4.510676464,0.000129351,0.000351221,Up
SEPT3,1.27129959,2.353702891,0.000129388,0.000351265,Up
TMEM200A,1.093195195,4.093427658,0.000133195,0.000360776,Up
INHBC,1.382604629,-2.089127974,0.000135025,0.000365565,Up
PRTN3,3.631300864,0.106409856,0.000136138,0.00036841,Up
C8orf74,1.712263859,-1.533132009,0.000136197,0.000368515,Up
AXDND1,-1.209856988,1.228036444,0.000136236,0.000368563,Down
SPTA1,1.593256608,-1.972962372,0.000136986,0.000370367,Up
NCAM2,-1.059353472,1.349482588,0.000138191,0.000373399,Down
KLK2,1.782644143,-2.20705614,0.000138339,0.000373742,Up
CTLA4,1.122573386,2.092594519,0.000139545,0.000376829,Up
COLEC10,1.081300148,-1.520495797,0.000141997,0.000382985,Up
AVIL,1.162945946,2.838298355,0.000143078,0.00038532,Up
RSPH10B,1.253044626,-2.890968927,0.000143753,0.000386812,Up
MAS1L,-1.435658459,-3.540369852,0.000144957,0.000389788,Down
ASPN,1.196495711,6.051329051,0.000144986,0.000389806,Up
KCNA10,2.107010741,-2.726398767,0.000146197,0.000392586,Up
SERPIND1,2.176867602,1.744027043,0.000147465,0.000395813,Up
GREM2,-1.2273968,3.441234337,0.000147813,0.000396568,Down
LAMP5,1.370969272,1.850711775,0.000150426,0.000403107,Up
FAM134B,1.027606344,5.178746643,0.000150432,0.000403107,Up
MYADML2,1.831149777,-0.613042527,0.000150502,0.000403235,Up
GRM1,1.153409111,-2.284063959,0.000151083,0.000404609,Up
LYG2,1.216525434,-0.940964619,0.00015122,0.000404914,Up
TNNT1,1.866568533,2.135635065,0.000152008,0.000406902,Up
DCHS2,-1.166236328,2.105947392,0.000153488,0.000410617,Down
OGN,-1.338834877,5.5740278,0.000154361,0.000412767,Down
FAM133A,2.535478157,-0.188205174,0.000155667,0.000416071,Up
CR1L,1.329244451,-1.765339073,0.000155972,0.000416823,Up
MUC16,2.502209597,4.408465226,0.000157107,0.000419793,Up
KIAA1210,1.742818891,-2.357801068,0.000157246,0.000419977,Up
TUBB8,1.36372522,-2.687241254,0.000157708,0.000421083,Up
OR2M3,2.425555399,-3.478065987,0.000160104,0.000426839,Up
HRG,1.90993384,-2.853519985,0.000160777,0.000428505,Up
FAM189A2,-1.038528248,3.499383149,0.000160856,0.000428652,Down
NPM2,1.119615033,0.781331185,0.000165533,0.000439294,Up
THRSP,-1.294970928,-1.988590193,0.00016848,0.000446362,Down
CCDC114,1.119894959,-0.496080175,0.000169333,0.000448555,Up
FAM177B,-1.030162526,2.790097756,0.000171967,0.000454989,Down
MS4A3,3.53372941,-0.944584497,0.000172822,0.000456913,Up
TMC3,-1.004173589,-1.655169792,0.000175241,0.000462621,Down
GLYATL3,3.693965506,-2.204210118,0.000175396,0.000462962,Up
DCLK1,-1.07827643,3.431070056,0.000176455,0.000465412,Down
CCDC108,1.230357444,0.304846927,0.000177005,0.000466586,Up
SLCO6A1,3.052922012,-3.214348938,0.000177512,0.000467782,Up
CHRM1,-1.233762749,-0.145460769,0.000178619,0.000470492,Down
SHISA3,-1.309703086,2.809329193,0.000179431,0.000472491,Down
REG3A,-1.963273456,7.929986203,0.000181434,0.00047734,Down
RHOXF2,2.439096977,-1.62947478,0.000183315,0.000481719,Up
MALRD1,-1.576645959,3.363903403,0.000183605,0.000482411,Down
TNNI2,1.329786238,0.651234523,0.000183907,0.000483062,Up
GSTM1,-1.771768914,3.543636651,0.000185023,0.000485778,Down
SSTR5,1.964940713,0.194616756,0.000185814,0.00048771,Up
UROC1,1.939575001,-2.647194572,0.000189761,0.000497265,Up
RAC3,1.103355542,2.984218892,0.00018993,0.00049756,Up
MMP1,1.643192582,6.981075644,0.000190285,0.000498416,Up
FZD10,-1.23615561,2.5536103,0.000191272,0.000500706,Down
PLG,1.943679679,-2.605519431,0.000192069,0.00050257,Up
PDIA2,-1.441297642,3.867120494,0.000192515,0.00050359,Down
ONECUT2,1.326385495,6.454458767,0.00019405,0.000507381,Up
WNT6,-1.049515333,0.050986249,0.000195579,0.000511154,Down
NTNG1,-1.250539546,-0.399903186,0.00019744,0.000515866,Down
SOX14,2.637513365,0.828090139,0.000198149,0.000517566,Up
TUBA3C,4.144746208,0.750925875,0.000199333,0.000520429,Up
PLA2G2F,1.961495695,1.417330011,0.000211274,0.000550155,Up
STRA8,2.889548767,-2.851881514,0.000213407,0.000555419,Up
CTRB2,4.561414131,3.422179668,0.000213449,0.000555419,Up
HSD3B1,3.316972294,-2.020064052,0.000213509,0.000555419,Up
SLAMF9,1.39986048,-1.071372675,0.000214921,0.000558588,Up
CCNA1,-1.102268799,-2.000095298,0.000215087,0.000558938,Down
ADAM18,2.597175076,-3.673559446,0.000218705,0.000567309,Up
PCDHA11,2.189615771,-0.112404661,0.000220823,0.000572004,Up
SUCNR1,1.496839838,3.248180011,0.000223023,0.000576949,Up
BAALC,-1.090944866,0.531378384,0.000224017,0.000579099,Down
OR7C1,1.082492748,-1.381913749,0.000224238,0.000579586,Up
GRIN2B,1.653523108,0.568255603,0.000226061,0.000583788,Up
CTRB1,4.093912991,3.946004186,0.000231534,0.000596883,Up
HIST1H2AH,1.174406035,-2.118811412,0.000231974,0.000597845,Up
ENAM,-1.167449968,-0.201646584,0.000232991,0.000600204,Down
AQP8,3.02138759,-0.229760212,0.000234566,0.000603998,Up
ABHD12B,1.792043659,0.427941241,0.000236752,0.000609187,Up
OR5AS1,3.231960203,-3.755601136,0.000236848,0.000609347,Up
SPANXB2,4.325925746,-2.825333959,0.000236934,0.000609478,Up
CCDC135,1.569766045,-1.574594299,0.000237851,0.000611661,Up
ATP5J2-PTCD1,1.092378078,-3.40421979,0.000238794,0.000613644,Up
C3orf67,-1.025627976,1.969871848,0.000240224,0.000617051,Down
TDRD1,2.152988409,0.655047084,0.000241067,0.000618947,Up
FABP6,1.555284317,1.629743381,0.000241201,0.000619202,Up
ZSCAN10,1.985137718,-2.087717796,0.000244556,0.000627364,Up
INSL6,1.503007338,-1.12569042,0.000245539,0.000629792,Up
CAPN11,1.08492878,-0.210419462,0.000245638,0.000629956,Up
DPP10,-1.556382056,-0.049257004,0.00024697,0.000633099,Down
FOXL2,2.164279116,-0.95590865,0.000253354,0.000648436,Up
SPDYE2B,1.285555587,-2.488793097,0.000255777,0.000654157,Up
HMP19,-1.526701608,0.719188421,0.000257351,0.000657625,Down
NR2E1,2.09957693,-1.867620928,0.000258373,0.000659952,Up
ULBP2,1.355991096,1.862439607,0.00026659,0.000679576,Up
GABRA3,2.784846575,1.994422969,0.000266777,0.000679955,Up
MC4R,-1.364319605,-3.601704916,0.000269138,0.000685482,Down
KCNA6,-1.220319153,-0.615661156,0.000269587,0.000686427,Down
NKX2-5,2.899957875,0.50550228,0.000270588,0.000688781,Up
SLC22A14,1.141558743,-2.243303735,0.000271929,0.0006917,Up
TCHH,1.078444301,-0.394227659,0.000273508,0.000695336,Up
IFNL1,1.667718905,-2.269707507,0.00027357,0.000695376,Up
ZDHHC11,1.01535809,2.387528966,0.000276882,0.000702691,Up
FAM166A,1.131341401,-3.139064116,0.000276947,0.000702756,Up
CTB-133G6.1,-1.065595699,1.173685032,0.000277192,0.000703277,Down
TBL1Y,-1.717080133,-2.493015684,0.000277844,0.000704729,Down
CHRNA3,-1.296084043,2.665931419,0.000278768,0.00070657,Down
CCDC155,1.861074765,-1.817590751,0.000278867,0.000706719,Up
TMEM196,-1.639053957,-2.89126654,0.000281513,0.000713019,Down
CD70,1.391432158,1.561693324,0.000283493,0.000717524,Up
C19orf45,1.109229009,0.329790036,0.000284922,0.000720526,Up
SEMA3D,-1.044017381,2.139815566,0.000296452,0.000747875,Down
CTSV,1.388681499,4.574543216,0.00029702,0.000748883,Up
KLK3,2.048040878,-1.335808885,0.000299229,0.000754133,Up
FRMPD2,1.867528482,-2.469767365,0.000301888,0.000760404,Up
CHRND,1.973462012,-2.504496622,0.000303291,0.000763614,Up
MAGEB2,3.962902096,0.951067354,0.000306542,0.000770925,Up
PI15,1.54332328,3.718432278,0.000308521,0.000775793,Up
KIF26A,1.332567469,4.676276521,0.00030863,0.000775959,Up
FLG2,-1.589361026,-2.349446065,0.000311234,0.000782172,Down
HAND1,3.157954831,-2.737843597,0.000314111,0.000788846,Up
SSTR3,-1.02923267,-1.333170673,0.000315252,0.000791488,Down
CEACAM18,-1.370490618,0.389849448,0.00031554,0.0007921,Down
NTS,2.912975897,4.065457929,0.000316934,0.000795263,Up
UBL4B,1.33796591,-3.411532788,0.00031736,0.000795994,Up
RGN,-1.074352608,2.44813276,0.000323107,0.000809382,Down
KLC3,-1.180946697,1.09130324,0.00032348,0.000810051,Down
C6orf58,-1.711547608,4.586641861,0.000325916,0.000815385,Down
MAGEA9B,4.2424382,-2.219034571,0.000327148,0.000818123,Up
MMP20,2.509008563,-1.418444511,0.000333641,0.000833072,Up
PTGDS,-1.028370278,1.555034366,0.000335871,0.000838053,Down
REG3G,4.782337526,4.319501246,0.000342001,0.000852033,Up
OR1F1,2.576737523,-3.907532088,0.000343225,0.000854843,Up
ASTN1,-1.3012112,0.321735737,0.000344029,0.000856487,Down
C5orf47,1.694392088,-3.14207727,0.000344791,0.000858023,Up
ASB18,1.895702722,-3.01571932,0.000354799,0.000881226,Up
OR9A4,2.227329622,-2.845228383,0.000355677,0.000883136,Up
PLA2G1B,3.588159678,4.023861545,0.000357713,0.000887708,Up
ANKRD30B,2.07178707,-2.405394938,0.000359039,0.000890614,Up
TCP11,2.034863794,-0.892801006,0.000362557,0.00089834,Up
KRT17,2.019042989,7.08828777,0.000365581,0.000905327,Up
PNMA2,1.148901117,3.183245196,0.000368967,0.000912825,Up
CCDC33,1.398849088,-0.733726295,0.000369524,0.000914074,Up
MLXIPL,1.448656919,4.700608342,0.000371371,0.000918389,Up
DKK1,2.292516411,4.703756415,0.000372716,0.00092133,Up
SLAMF8,1.00012161,2.434378577,0.000373828,0.000923823,Up
TCEB3B,1.74479472,-3.37565288,0.000375172,0.000926887,Up
GABRP,1.935882804,6.726089474,0.000376117,0.000928962,Up
C4A,1.01538437,4.188271497,0.000380788,0.000940109,Up
CP,1.626982534,4.617252653,0.000381328,0.00094131,Up
EOMES,1.071333037,2.196682147,0.000386588,0.00095345,Up
C4B,1.017981104,4.165584278,0.000387139,0.000954463,Up
COL11A2,1.972144937,3.164513013,0.000389105,0.000959046,Up
BPIFB4,2.333161983,-2.171831061,0.000389309,0.000959415,Up
SPTBN5,1.085189887,2.764888519,0.000396599,0.000975758,Up
MYH6,1.758428274,-2.630802961,0.000401504,0.000986598,Up
NKX2-1,4.006238258,-0.203972017,0.000401964,0.000987592,Up
CDH10,-1.381608353,-1.593575878,0.000411416,0.001009144,Down
TENM2,-1.181221899,2.233010783,0.000415556,0.001018176,Down
F12,1.021884662,2.861420424,0.000416237,0.001019703,Up
ERAS,2.480527952,-2.148912435,0.00041753,0.001022448,Up
CACNG6,2.174211339,-0.893124287,0.000420596,0.001029532,Up
SYT7,1.455851891,4.838715891,0.000420843,0.001029994,Up
ANKRD30A,2.084643063,-2.880743074,0.000424556,0.001038212,Up
PKLR,-1.45956437,0.392534766,0.000425313,0.001039791,Down
KRT77,-1.61454261,-3.687001747,0.000425412,0.00103989,Down
OR1J1,1.817694478,-3.796390521,0.000426035,0.001041269,Up
C1QL4,1.941530071,-1.542054581,0.000429972,0.001049882,Up
SATL1,1.614329196,-2.550093616,0.000430482,0.001050984,Up
GAGE2A,5.713908031,-1.496791233,0.000431619,0.001053182,Up
VSIG1,-1.397364136,7.194392262,0.000432142,0.001054168,Down
HTR1B,-1.018663131,0.839317622,0.000434641,0.001059829,Down
LGALS2,1.473043397,4.825956199,0.000441521,0.001076014,Up
PNLIPRP1,3.345760288,2.994583673,0.000441905,0.001076655,Up
RTDR1,1.080920454,-0.399520181,0.000442531,0.001077887,Up
UGT2B4,3.132627954,-0.846025319,0.000443788,0.001080503,Up
TACR1,-1.081034621,0.981014199,0.000450475,0.001095735,Down
LAMA3,1.010075993,7.281362883,0.000451894,0.001099036,Up
CCK,-1.323583916,1.37748069,0.000453664,0.001102738,Down
B3GNT6,-1.484873695,3.884027203,0.000457507,0.001111018,Down
SLC38A4,1.786827058,1.814367301,0.000457942,0.001111921,Up
FAM189A1,-1.279136071,1.25596705,0.000459419,0.001115204,Down
HIST1H2AJ,1.164209882,-1.512398421,0.000465077,0.001128477,Up
ATP13A4,-1.17468323,3.158485642,0.000469208,0.001137724,Down
FAM131B,1.355442008,2.162034283,0.000469723,0.00113854,Up
POU4F1,2.577466268,-0.687554669,0.000473418,0.001146371,Up
PVALB,-1.047863832,-2.060667515,0.00047408,0.001147659,Down
UCP1,1.605240436,-3.760810195,0.000486983,0.001176495,Up
NUP210L,1.190943462,-0.741741399,0.000496471,0.001198277,Up
KCNA7,1.236916238,-2.315495776,0.000498657,0.001203228,Up
C14orf180,-1.662343684,-2.82449047,0.000499936,0.001206151,Down
SYTL5,-1.0930902,2.910934485,0.000501876,0.001210338,Down
SOX11,1.238775793,0.873822195,0.000504119,0.001215419,Up
KRT9,2.039723435,-1.803176028,0.000513773,0.001237353,Up
RASGRF1,1.297097166,1.7005769,0.000514709,0.001239439,Up
ERICH6,1.172009993,-2.835473109,0.000522895,0.001257666,Up
CACNG7,-1.155604745,-2.593600099,0.000523569,0.001258866,Down
TRIML2,2.525486875,-1.740792398,0.00052422,0.001259956,Up
CHGA,-1.6750791,6.487629826,0.00053191,0.001277402,Down
NEUROD2,1.714260928,0.135743169,0.00053281,0.001279391,Up
CTSE,-1.185992188,9.401391082,0.000536825,0.001288512,Down
DEFB124,-1.128931956,-3.318673536,0.000537255,0.001289368,Down
SLC4A9,1.076038613,-1.391038014,0.000538631,0.001292322,Up
FOXI1,2.598576893,-0.057425907,0.000540644,0.001296627,Up
SLITRK2,-1.1598446,-0.803546398,0.000542118,0.001299987,Down
ADIPOQ,-1.899218079,1.143770177,0.000550314,0.001317864,Down
HTN1,3.511392421,-2.233556371,0.000551997,0.001321313,Up
NKAIN4,1.571678306,0.305021095,0.00055698,0.001332067,Up
ADCY10,1.00656445,-1.064803406,0.000557793,0.001333802,Up
QPCT,1.072978033,3.656832721,0.000558498,0.001335307,Up
OR8D1,2.552042931,-2.199527377,0.000562425,0.001344154,Up
PROM1,1.164147067,6.531650065,0.00056572,0.001351485,Up
PAX7,2.44910596,-2.681953533,0.000565865,0.001351649,Up
PRDM7,1.449987254,-3.39977184,0.000566746,0.001353572,Up
SCG2,-1.107473134,2.816453039,0.000570209,0.001360746,Down
STMND1,1.958942864,-1.885961778,0.000570418,0.001361062,Up
PLA2G2E,2.472192661,-3.205337748,0.000573423,0.001367683,Up
CEACAM6,1.522694933,9.329905195,0.000576622,0.001374759,Up
CCDC144NL,2.429929992,-1.041942495,0.000584702,0.0013916,Up
TNFAIP6,1.058114386,3.066538672,0.00060242,0.001431662,Up
RBM46,2.714115707,-1.214169992,0.000602943,0.001432522,Up
SLC22A8,2.260004315,-2.615084532,0.000604324,0.00143523,Up
GJB5,-1.306468881,2.491156554,0.000611377,0.00145101,Down
OR2AG2,1.282414229,-2.408360603,0.000614776,0.001458494,Up
HAO2,1.72192112,-2.80008068,0.000617271,0.001464023,Up
CCDC83,1.471366674,-2.78720345,0.000618827,0.001467322,Up
TBATA,1.670412779,-3.311603883,0.000620703,0.001471379,Up
C9orf57,2.097826396,-2.891456826,0.000622843,0.001475861,Up
PAX1,-1.466950327,-1.917584934,0.000627637,0.001486231,Down
SUPT4H1,1.168047078,-2.60541288,0.000647399,0.001529568,Up
IDO2,1.11242468,-1.656197127,0.000647529,0.001529671,Up
CYP26A1,1.740238505,-3.025020184,0.000650069,0.001534923,Up
RSPH10B2,1.388535007,-3.201596,0.000652782,0.001540443,Up
SCN2A,1.640900801,1.625565948,0.000656608,0.001548856,Up
CDHR1,-1.349573999,2.113481045,0.000661732,0.001559083,Down
CILP,-1.152738095,4.256655991,0.00066298,0.001561404,Down
CATSPER1,1.105207753,-0.33559661,0.000664407,0.001564143,Up
ZIC1,2.909757208,0.384268933,0.000665697,0.001566765,Up
FEZF2,-1.63993003,-2.2257621,0.000666125,0.001567565,Down
RAB39A,1.013950275,-0.065721347,0.00067385,0.001584488,Up
WFDC10B,1.642507707,-2.45487945,0.0006742,0.001585101,Up
C9orf171,1.137650173,-2.443656918,0.000677103,0.001590874,Up
DAW1,1.532663834,-1.81798868,0.000678476,0.00159389,Up
SLC30A3,1.439931194,-0.537767045,0.000683145,0.001603877,Up
CD164L2,-1.002931626,-0.767631303,0.000691798,0.001622614,Down
C17orf77,2.267944076,-1.101011323,0.000696583,0.001632978,Up
C19orf81,1.782527294,-1.394063955,0.000698643,0.001637591,Up
PKD1L3,1.187775738,-0.501058468,0.000699447,0.001639045,Up
PNMA3,1.797282884,0.596784779,0.000701343,0.001642922,Up
FOXD1,1.354758807,2.364207883,0.000703047,0.001646397,Up
ARL14EPL,2.25071828,-3.139291523,0.000708296,0.001657815,Up
C22orf31,-1.008868119,-2.698375072,0.000711552,0.001664342,Down
PHACTR3,1.530567947,1.637114163,0.00071873,0.001679586,Up
TUBA3E,1.26056116,-2.58581063,0.000720606,0.001683528,Up
AOX1,-1.019925301,3.107325863,0.000722118,0.001686617,Down
MAPK8IP2,1.217553402,3.788170455,0.000724255,0.001690941,Up
ZNF679,2.881225085,-3.600707033,0.00072991,0.001703698,Up
ARID3C,1.103506791,-2.413534181,0.000737266,0.00172019,Up
SLC19A3,1.484734975,4.116018871,0.000738884,0.00172374,Up
USP26,2.0216398,-3.264726918,0.000744485,0.001735674,Up
SCGB2A2,-1.630571491,-2.493771553,0.00074567,0.001737975,Down
AC022431.2,-1.152261156,-2.799221935,0.00075016,0.001747085,Down
EPHB1,1.112967196,2.717556819,0.000752028,0.001750043,Up
TAS2R10,1.174318071,-2.943977168,0.000762448,0.001771975,Up
VNN3,1.47200211,1.177375849,0.000769939,0.00178775,Up
TENM1,-1.063291914,1.590303302,0.000778288,0.00180525,Down
LIPI,-1.109385603,-2.690873837,0.000781351,0.001811174,Down
WFDC5,-1.651436706,-1.188716975,0.000783257,0.001815338,Down
NLRP5,2.328734466,-2.363140622,0.000783351,0.001815338,Up
COL6A6,1.191968296,-0.214314942,0.000787671,0.001824399,Up
LRRD1,1.441314178,-2.688751901,0.000793658,0.001836831,Up
ANKRD18A,1.144937072,1.408169103,0.00079429,0.001838054,Up
PRSS37,1.369665776,-3.170852704,0.000808235,0.001867896,Up
TMEM105,1.253335556,-0.004853815,0.000810057,0.00187162,Up
GPR87,-1.615943996,-2.46082299,0.000814873,0.001881526,Down
FOXI3,2.133002644,-3.089401477,0.000816502,0.001884553,Up
DPEP3,2.248387159,0.536749586,0.000816842,0.001884671,Up
C1QL2,2.895344695,-2.179808866,0.000817674,0.00188628,Up
OTX2,3.192648357,-2.919577312,0.000818525,0.001887529,Up
FCGBP,-1.265822129,8.729680902,0.000818534,0.001887529,Down
FGF8,1.200119468,-2.594651068,0.000819347,0.001889159,Up
FBXW12,1.088071795,-1.691527665,0.000819894,0.001890082,Up
DDX4,2.089959742,-1.752788352,0.00081996,0.001890082,Up
ATP6V1B1,1.264815006,-2.753957747,0.000820667,0.001891468,Up
SYCN,4.992699299,2.297545058,0.000825523,0.001901182,Up
TRPC5,-1.203060654,-3.138470731,0.000835932,0.00192366,Down
GRB14,1.040777428,2.233236137,0.000842145,0.001936204,Up
ADCY1,1.164149199,3.181758184,0.000869494,0.001993673,Up
TEX26,-1.045566454,-3.073212806,0.000872981,0.002001154,Down
DPPA3,3.03751914,-1.139467205,0.000884807,0.002026696,Up
SULT6B1,2.099744515,-3.765929308,0.000893849,0.002045373,Up
KLHL34,-1.055152442,-1.894899681,0.000897416,0.002053198,Down
TMEM132D,-1.08904774,-1.724785537,0.000898479,0.002055101,Down
LRRC38,-1.039590815,-2.788873909,0.000905766,0.002069906,Down
PIWIL3,1.900696612,-2.082742562,0.000907226,0.002072712,Up
SHISA6,-1.091320642,1.72877752,0.000913082,0.002085554,Down
F7,1.765825398,1.045386541,0.000914745,0.002088548,Up
LRRN1,1.508204424,3.12437699,0.000918773,0.002097206,Up
OR8D4,2.17356395,-3.603037307,0.000920452,0.002099961,Up
SLC12A1,-1.159893729,-2.233716354,0.000923949,0.002107671,Down
MAEL,1.893550853,0.383715838,0.000925571,0.002111099,Up
FAM167A,1.264450709,3.435485742,0.000931236,0.002123477,Up
TCN1,-1.226459993,5.652802344,0.000931581,0.00212399,Down
DDX53,2.840375331,-1.702172746,0.000934036,0.00212877,Up
CHST9,-1.416608823,1.044798335,0.000939235,0.002139248,Down
KRTAP5-7,1.166205609,-3.261560825,0.000947536,0.002157051,Up
ASCL1,2.918464665,3.127434149,0.000953741,0.00216951,Up
BPI,1.527158384,-0.965962192,0.000956173,0.002174764,Up
FRAS1,1.09593133,5.098953783,0.000966255,0.002195732,Up
PAX3,2.28562622,-2.19639539,0.000972784,0.002208311,Up
TYRP1,1.295491742,1.929087596,0.000995044,0.002254243,Up
GLDC,1.602844584,2.941892905,0.00100056,0.002265585,Up
MAGEE2,-1.161830769,-3.434798505,0.001005455,0.0022758,Down
PSG3,2.939559153,-3.148121129,0.001007678,0.002280542,Up
CES1,-1.150386564,4.567045288,0.001009732,0.002284899,Down
FAM183B,1.328621475,-3.336890224,0.001011264,0.002288075,Up
PRR27,2.324171553,-2.151860461,0.001019449,0.002303664,Up
CAGE1,1.033446091,-2.396018076,0.001032747,0.00233115,Up
TRIM67,1.022281417,-0.790211027,0.001035685,0.002336792,Up
ILDR2,1.021960794,2.006882711,0.001038698,0.002342699,Up
UPK3B,-1.232852897,3.797606192,0.001045089,0.002355919,Down
CDH12,2.714297701,0.870324014,0.001047367,0.002360456,Up
BTN1A1,1.378290878,-0.205065448,0.001049117,0.0023641,Up
YBX2,1.112146415,3.747579801,0.001071621,0.002409623,Up
ANKRD45,1.214475122,-0.955345932,0.00107232,0.002410584,Up
TSPYL6,1.267776512,-2.378730739,0.00107259,0.002410584,Up
SLC39A5,-1.076351309,5.078353538,0.001075442,0.002416384,Down
LHX5,-1.338632803,-1.728557657,0.001101218,0.002468377,Down
ACSM2B,2.191059932,-1.083599775,0.001106045,0.00247826,Up
HIST1H2AL,1.200380745,-2.013616459,0.001119257,0.00250471,Up
ZNF556,1.199780674,0.41357575,0.001130937,0.002527871,Up
GPR26,-1.275093999,-2.213580475,0.001131067,0.002527871,Down
CLDN19,1.773868328,-0.465782547,0.001143044,0.002552803,Up
TEKT4,2.003695496,-2.446151231,0.001145575,0.002557492,Up
GBP7,1.133520409,-1.947070296,0.001153696,0.002574008,Up
SMOC1,1.627276707,4.083626245,0.001162041,0.002590353,Up
IQCF1,1.703839719,-3.813905325,0.001165943,0.0025984,Up
RP11-569G13.3,1.690188017,-2.542359088,0.00116981,0.002606038,Up
ERVV-1,1.920765377,-2.479628567,0.001173058,0.002611639,Up
HES7,1.54324108,-1.958713582,0.001182111,0.002630478,Up
AMDHD1,1.093703817,0.225580837,0.00118266,0.002631043,Up
C1orf87,2.166656583,-2.779219207,0.001183932,0.002633542,Up
ZAR1,1.837283268,-2.88894255,0.0012024,0.002671616,Up
SHISA2,1.16658839,3.337891483,0.001204388,0.00267562,Up
RBPJL,2.385262762,0.934846199,0.001206382,0.002679125,Up
LYPD8,2.802695899,1.217412679,0.001208617,0.002683755,Up
MYH8,2.081539217,-2.197929905,0.001209782,0.00268567,Up
GABRA1,-1.393605638,-2.843896344,0.001218032,0.002702636,Down
CHRNA9,1.604898971,-2.734071418,0.00122203,0.002710157,Up
CCL16,1.860802866,-0.74245091,0.001230764,0.002727147,Up
CALML6,1.038294621,-2.50115767,0.001258453,0.002783301,Up
NPPB,2.832796811,-2.452941078,0.001266039,0.002799382,Up
BLK,-1.128668237,2.21889115,0.001268681,0.002804876,Down
MEI4,-1.194559491,-1.562919176,0.00127005,0.002807553,Down
NPY5R,-1.232452982,-2.79069589,0.001274629,0.002816626,Down
EFCAB8,1.247267729,-0.785621291,0.001275965,0.002819229,Up
GFI1B,1.374569265,0.270022436,0.001283769,0.002835766,Up
OR2W3,-1.131592131,-3.421783838,0.001291779,0.00285169,Down
OLAH,1.30537297,-1.656309665,0.001292695,0.002853073,Up
SLC22A9,1.645011339,-1.809279814,0.001313502,0.002896412,Up
RAB3B,1.109243631,4.095485144,0.001321062,0.002910917,Up
VWCE,1.059679575,1.142278708,0.001322251,0.002913176,Up
ZNF90,1.08039784,1.363864567,0.001324723,0.002917901,Up
ALLC,1.612430591,-2.829858235,0.001330478,0.002929487,Up
SLC24A2,1.122138708,0.018477674,0.001337731,0.002944729,Up
STPG2,1.107179431,-1.998386321,0.00136497,0.002999494,Up
PAGE4,3.121752006,-2.149406261,0.001385691,0.003039398,Up
SERPINA7,4.08924871,-0.876605866,0.001392748,0.003053372,Up
HIST1H1B,1.071263828,-0.44475517,0.001401936,0.003072001,Up
HYDIN,1.373751883,-0.374164262,0.00140448,0.003077197,Up
TMEM190,1.025840366,-2.733509942,0.001408217,0.003085003,Up
DACT2,1.856332096,2.405914591,0.001415423,0.003099645,Up
PDE11A,1.00412807,1.463079901,0.001417266,0.0031033,Up
SPRR2E,-2.42849073,4.197313362,0.001421036,0.003110407,Down
TMEM229A,-1.238263252,3.49E-06,0.001437899,0.003144222,Down
SLC17A2,2.599939645,-3.095003354,0.001450322,0.003167496,Up
AXIN2,1.154965194,5.118785412,0.001453342,0.003172534,Up
ADAM2,2.30012809,-3.253076976,0.001454866,0.003174692,Up
CASR,-1.260281147,-0.502158099,0.001462703,0.003190619,Down
ISM2,1.886435456,-0.36239749,0.001487353,0.003238433,Up
EPPIN,2.001869893,-3.712576132,0.001495824,0.003254089,Up
CD300E,1.076984245,1.602772616,0.00154092,0.003342794,Up
ANKUB1,1.188052434,-2.462677652,0.001543134,0.003346372,Up
CFHR5,3.191865932,-2.7277778,0.001544181,0.003347827,Up
GHRHR,1.320415732,-1.738766665,0.001570741,0.003401265,Up
NDST4,-1.191013343,-1.543192438,0.001577193,0.003413211,Down
CSMD1,1.767846616,0.725235859,0.001592099,0.003442486,Up
SLC6A18,2.105161802,-2.600342868,0.001616969,0.003491169,Up
SLCO1B7,2.022149102,-3.439262196,0.001627357,0.003512319,Up
DIO3,1.562788925,0.890398529,0.001629715,0.003516583,Up
CTAGE8,1.064888919,-2.190165804,0.001629728,0.003516583,Up
URAD,-1.721701718,-0.868209001,0.001632889,0.003522977,Down
C1orf146,1.017274902,-2.94671309,0.001641429,0.003540973,Up
TEKT1,1.211996303,-2.771690151,0.001668609,0.003594814,Up
FABP7,1.713031822,-1.934708403,0.001674068,0.003603956,Up
MEGF11,1.024220489,0.434555091,0.001676511,0.003607468,Up
