gene_id,log2FoldChange,log2CPM,PValue,FDR,up_down
EFCC1,-1.176296267,2.465852352,2.66E-12,2.41E-11,Down
ERI1,1.042419736,4.702431657,2.67E-12,2.42E-11,Up
HTR1E,-3.059323068,-2.654335657,2.74E-12,2.48E-11,Down
STMN1,1.118995344,6.861288919,2.81E-12,2.55E-11,Up
STMN2,-2.224522393,1.724123342,2.82E-12,2.56E-11,Down
NELFCD,1.004376659,6.755173971,2.85E-12,2.58E-11,Up
MMP8,4.69611415,-0.454553468,2.96E-12,2.67E-11,Up
LPAR1,-1.251630598,4.176305439,2.96E-12,2.67E-11,Down
PPY,-2.893063151,-2.264899763,2.99E-12,2.70E-11,Down
ALPPL2,6.669933617,4.724903998,3.01E-12,2.72E-11,Up
CXorf22,4.506618146,-0.061933144,3.07E-12,2.77E-11,Up
CPNE5,-1.304317726,3.760499553,3.13E-12,2.82E-11,Down
TMEM44,1.005009718,3.805621752,3.22E-12,2.91E-11,Up
PAMR1,-1.25804175,2.722084819,3.29E-12,2.97E-11,Down
CCNA2,1.41751724,5.347741491,3.32E-12,3.00E-11,Up
MAGEH1,-1.08797642,3.314317358,3.42E-12,3.08E-11,Down
RAB3IP,1.345867229,5.342552806,3.45E-12,3.10E-11,Up
ARHGEF4,-1.830073495,3.893536822,3.46E-12,3.11E-11,Down
KIAA0408,-2.416837841,-2.362366976,3.52E-12,3.17E-11,Down
CCKBR,-2.771467633,1.773160029,3.58E-12,3.22E-11,Down
SLC18A3,-2.972149884,-0.646991948,3.64E-12,3.27E-11,Down
ZCWPW2,-1.153485548,-0.865249506,3.72E-12,3.34E-11,Down
MAGEA12,9.023049679,2.787804608,3.75E-12,3.36E-11,Up
JPH4,-1.40869351,-0.277192716,4.11E-12,3.68E-11,Down
ROR2,-1.592760264,4.442433982,4.12E-12,3.69E-11,Down
PAQR4,1.399703049,4.286770227,4.13E-12,3.70E-11,Up
CCT2,1.094795254,7.231624726,4.20E-12,3.75E-11,Up
TUBB2A,-1.054260574,4.761082688,4.21E-12,3.76E-11,Down
AKR1C2,-2.190228636,4.851984753,4.22E-12,3.76E-11,Down
OLFML2B,1.916389266,5.547654717,4.22E-12,3.76E-11,Up
FOXE3,3.275398839,-1.203191576,4.31E-12,3.84E-11,Up
TNFRSF11B,3.093475268,3.896280194,4.31E-12,3.84E-11,Up
FOXD2,1.962330526,2.86366943,4.34E-12,3.87E-11,Up
VCAN,1.719377822,7.596977317,4.35E-12,3.87E-11,Up
FBXO32,-1.503161809,6.652437327,4.35E-12,3.87E-11,Down
OSBPL1A,-1.041671521,5.133945396,4.42E-12,3.93E-11,Down
IFI30,1.498756963,-0.759581882,4.44E-12,3.94E-11,Up
SSUH2,-1.755598885,1.337124696,4.45E-12,3.95E-11,Down
P4HA1,1.168686287,5.561987239,4.47E-12,3.96E-11,Up
TCEAL3,-1.118885672,3.794775057,4.49E-12,3.99E-11,Down
IP6K3,-1.778377699,-0.84465726,4.58E-12,4.06E-11,Down
